series	series_label	start_time	end_time	cast_member	cast_label
http://www.wikidata.org/entity/Q380519	Star Trek: Enterprise	2001-09-26T00:00:00Z	2005-05-13T00:00:00Z	http://www.wikidata.org/entity/Q311699	Scott Bakula
http://www.wikidata.org/entity/Q380519	Star Trek: Enterprise	2001-09-26T00:00:00Z	2005-05-13T00:00:00Z	http://www.wikidata.org/entity/Q234466	Jolene Blalock
http://www.wikidata.org/entity/Q380519	Star Trek: Enterprise	2001-09-26T00:00:00Z	2005-05-13T00:00:00Z	http://www.wikidata.org/entity/Q241873	Linda Park
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q16296	Patrick Stewart
http://www.wikidata.org/entity/Q1077	Star Trek: The Original Series	1966-09-08T00:00:00Z	1969-09-02T00:00:00Z	http://www.wikidata.org/entity/Q16297	William Shatner
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q10738	Dwayne Johnson
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q442453	Scarlett Pomers
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q452232	Tim Russ
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q445253	David Graf
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q367549	Robert Beltran
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q435475	Ethan Phillips
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q437693	Titus Welliver
http://www.wikidata.org/entity/Q1077	Star Trek: The Original Series	1966-09-08T00:00:00Z	1969-09-02T00:00:00Z	http://www.wikidata.org/entity/Q110154	George Takei
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q57464	Abdullah II of Jordan
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q164372	Mark Allen Shepherd
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q49001	Whoopi Goldberg
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q229013	Sarah Silverman
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q229784	Virginia Madsen
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q538129	Martha Hackett
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q508333	Robert Duncan McNeill
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q530646	Ray Wise
http://www.wikidata.org/entity/Q1077	Star Trek: The Original Series	1966-09-08T00:00:00Z	1969-09-02T00:00:00Z	http://www.wikidata.org/entity/Q16345	Leonard Nimoy
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q152542	William Sadler
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q551354	Garrett Wang
http://www.wikidata.org/entity/Q380519	Star Trek: Enterprise	2001-09-26T00:00:00Z	2005-05-13T00:00:00Z	http://www.wikidata.org/entity/Q713738	Dominic Keating
http://www.wikidata.org/entity/Q108774	Star Trek: Deep Space Nine	1993-01-03T00:00:00Z	1999-06-02T00:00:00Z	http://www.wikidata.org/entity/Q182372	Louise Fletcher
http://www.wikidata.org/entity/Q1077	Star Trek: The Original Series	1966-09-08T00:00:00Z	1969-09-02T00:00:00Z	http://www.wikidata.org/entity/Q16349	DeForest Kelley
http://www.wikidata.org/entity/Q156329	Star Trek: Voyager	1995-01-16T00:00:00Z	2001-05-23T00:00:00Z	http://www.wikidata.org/entity/Q16455	John Rhys-Davies
http://www.wikidata.org/entity/Q16290	Star Trek: The Next Generation	1987-09-28T00:00:00Z	1994-05-23T00:00:00Z	http://www.wikidata.org/entity/Q232945	Marina Sirtis
